State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,315993715,318301008,320635163,322941311,324985539,326687501,328239523,331449281,332403650,332915073
.Alabama,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5024279,4934193,4949697
.Alaska,737068,736283,737498,741456,739700,735139,731545,733391,724357,720763
.Arizona,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7151502,7520103,7640796
.Arkansas,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3011524,3033946,3042017
.California,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39538223,39613493,39664128
.Colorado,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5773714,5893634,5961083
.Connecticut,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3605944,3552821,3546588
.Delaware,923576,932487,941252,948921,956823,965479,973764,989948,990334,998619
.District of Columbia,650581,662328,675400,685815,694906,701547,705749,689545,714153,718355
.Florida,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21538187,21944577,22177997
.Georgia,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10711908,10830007,10936299
.Hawaii,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1455271,1406430,1401709
.Idaho,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1839106,1860123,1896652
.Illinois,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12812508,12569321,12518071
.Indiana,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6785528,6805663,6842385
.Iowa,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3190369,3167974,3174426
.Kansas,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2937880,2917224,2919179
.Kentucky,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4505836,4480713,4487233
.Louisiana,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4657757,4627002,4616106
.Maine,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1362359,1354522,1359677
.Maryland,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177224,6065436,6075314
.Massachusetts,6713315,6762596,6794228,6823608,6859789,6882635,6892503,7029917,6912239,6922107
.Michigan,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10077331,9992427,9995212
.Minnesota,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5706494,5706398,5739781
.Mississippi,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2966407,2961536
.Missouri,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6169038,6184843
.Montana,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1085004,1093117
.Nebraska,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1951996,1960790
.Nevada,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3185786,3238601
.New Hampshire,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1372203,1378449
.New Jersey,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,8874520,8870685
.New Mexico,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2105005,2109093
.New York,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,19299981,19223191
.North Carolina,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10701022,10807491
.North Dakota,722036,737401,754066,754434,754942,758080,762062,779094,770026,774008
.Ohio,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11799448,11714618,11727377
.Oklahoma,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3959353,3990443,4007179
.Oregon,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4237256,4289439,4325290
.Pennsylvania,12776309,12788313,12784826,12782275,12787641,12800922,12801989,13002700,12804123,12805190
.Rhode Island,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1097379,1061509,1062583
.South Carolina,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5118425,5277830,5342388
.South Dakota,842316,849129,853988,862996,872868,878698,884659,886667,896581,902542
.Tennessee,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6910840,6944260,7001803
.Texas,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29145505,29730311,30097526
.Utah,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3271616,3310774,3363182
.Vermont,626210,625214,625216,623657,624344,624358,623989,643077,623251,622882
.Virginia,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8631393,8603985,8638218
.Washington,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7705281,7796941,7887965
.West Virginia,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1793716,1767859,1755715
.Wisconsin,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5893718,5852490,5867518
.Wyoming,582122,582531,585613,584215,578931,577601,578759,576851,581075,582233
